PbTyp;PbNahmeDatum;Parameter;Einheiten;Wert Text;CAS;Gruppe;DauerPN_h;Q_m3_s;M_in_mg_L;Tage;Datum_Start;mg_pro_24h
WASSER;02.01.2013;Tetrachlormethan;µg/L;0.002;56-23-5;LHKW;24;1471.43;2;1;01.01.2013;2
WASSER;02.01.2013;Trichlorethen;µg/L;0.004;79-01-6;LHKW;24;1471.43;4;1;01.01.2013;4
WASSER;15.01.2013;o-Phosphat(P)(DRP);mg/L;0.009;14265-44-2;Anionen;336;1228.74;0.009;14;01.01.2013;0.000642857
WASSER;02.01.2013;2,6-Dichlorbenzamid;µg/L;0.014;2008-58-4;Metabolite;24;1471.43;14;1;01.01.2013;14
WASSER;02.01.2013;4-Formylaminoantipyrin;µg/L;0.018;1672-58-8;Metabolite;24;1471.43;18;1;01.01.2013;18
WASSER;02.01.2013;4-Trifluormethyl-phenol;µg/L;0.05;402-45-9;Einzelstoffe;24;1471.43;50;1;01.01.2013;50
WASSER;02.01.2013;Acesulfam;µg/L;0.94;33665-90-6;Suessstoffe;24;1471.43;940;1;01.01.2013;940
WASSER;02.01.2013;Atenololsäure;µg/L;0.033;56392-14-4;Metabolite;24;1471.43;33;1;01.01.2013;33
WASSER;02.01.2013;Atrazin;µg/L;0.013;1912-24-9;Pestizide;24;1471.43;13;1;01.01.2013;13
WASSER;02.01.2013;Benzotriazol;µg/L;0.2;95-14-7;Einzelstoffe;24;1471.43;200;1;01.01.2013;200
WASSER;02.01.2013;Carbamazepin;µg/L;0.013;298-46-4;Arzneimittel;24;1471.43;13;1;01.01.2013;13
WASSER;02.01.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.01;58955-93-4;Metabolite;24;1471.43;10;1;01.01.2013;10
WASSER;02.01.2013;Cyproconazol;µg/L;0.011;94361-06-5;Pestizide;24;1471.43;11;1;01.01.2013;11
WASSER;02.01.2013;Diclofenac;µg/L;0.011;15307-79-6;Arzneimittel;24;1471.43;11;1;01.01.2013;11
WASSER;02.01.2013;Hydrochlorothiazid;µg/L;0.029;58-93-5;Arzneimittel;24;1471.43;29;1;01.01.2013;29
WASSER;02.01.2013;Metformin;µg/L;0.4;657-24-9;Arzneimittel;24;1471.43;400;1;01.01.2013;400
WASSER;02.01.2013;N,N-Dimethyl-N*(4-methylphenyl)-sulfamid;µg/L;0.084;66840-71-9;Metabolite;24;1471.43;84;1;01.01.2013;84
WASSER;02.01.2013;N-Acetyl-4-aminoantipyrin;µg/L;0.088;83-15-8;Metabolite;24;1471.43;88;1;01.01.2013;88
WASSER;02.01.2013;Saccharin;µg/L;0.026;81-07-2;Suessstoffe;24;1471.43;26;1;01.01.2013;26
WASSER;02.01.2013;Summe 5-Methyl-Benzotriazol und 4-Methyl-Benzotriazol und 1-Methylbenzotriazol und 2-Aminobenzimidazol;µg/L;0.12;KEINE NUMMER MOEGLICH;Metabolite;24;1471.43;120;1;01.01.2013;120
WASSER;02.01.2013;Summe O-Desvenlafaxin und N-Desvenlafaxin und Tramadol;µg/L;0.006;KEINE NUMMER MOEGLICH;Arzneimittel;24;1471.43;6;1;01.01.2013;6
WASSER;02.01.2013;Toluol-4-sulfonsäure;µg/L;0.053;104-15-4;Einzelstoffe;24;1471.43;53;1;01.01.2013;53
WASSER;02.01.2013;Triphenylphosphinoxid;µg/L;0.25;791-28-6;Einzelstoffe;24;1471.43;250;1;01.01.2013;250
WASSER;02.01.2013;Valsartan;µg/L;0.02;137862-53-4;Arzneimittel;24;1471.43;20;1;01.01.2013;20
WASSER;02.01.2013;Venlafaxin;µg/L;0.009;93413-69-5;Arzneimittel;24;1471.43;9;1;01.01.2013;9
WASSER;02.01.2013;2-Naphthalinsulfonsäure;µg/L;0.006;120-18-3;Einzelstoffe;24;1471.43;6;1;01.01.2013;6
WASSER;02.01.2013;Acesulfam;µg/L;0.27;33665-90-6;Suessstoffe;24;1471.43;270;1;01.01.2013;270
WASSER;02.01.2013;Atrazin;µg/L;0.005;1912-24-9;Pestizide;24;1471.43;5;1;01.01.2013;5
WASSER;02.01.2013;Benzotriazol;µg/L;0.14;95-14-7;Einzelstoffe;24;1471.43;140;1;01.01.2013;140
WASSER;02.01.2013;Carbamazepin;µg/L;0.015;298-46-4;Arzneimittel;24;1471.43;15;1;01.01.2013;15
WASSER;02.01.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.02;58955-93-4;Metabolite;24;1471.43;20;1;01.01.2013;20
WASSER;02.01.2013;Carbendazim;µg/L;0.005;10605-21-7;Pestizide;24;1471.43;5;1;01.01.2013;5
WASSER;02.01.2013;Chlortoluron;µg/L;0.002;15545-48-9;Pestizide;24;1471.43;2;1;01.01.2013;2
WASSER;02.01.2013;Clarithromycin;µg/L;0.005;81103-11-9;Arzneimittel;24;1471.43;5;1;01.01.2013;5
WASSER;02.01.2013;Cyproconazol;µg/L;0.018;94361-06-5;Pestizide;24;1471.43;18;1;01.01.2013;18
WASSER;02.01.2013;DEET;µg/L;0.007;134-62-3;Pestizide;24;1471.43;7;1;01.01.2013;7
WASSER;02.01.2013;Desethylatrazin;µg/L;0.006;6190-65-4;Metabolite;24;1471.43;6;1;01.01.2013;6
WASSER;02.01.2013;Diclofenac;µg/L;0.017;15307-79-6;Arzneimittel;24;1471.43;17;1;01.01.2013;17
WASSER;02.01.2013;Isoproturon;µg/L;0.003;34123-59-6;Pestizide;24;1471.43;3;1;01.01.2013;3
WASSER;02.01.2013;Metformin;µg/L;0.29;657-24-9;Arzneimittel;24;1471.43;290;1;01.01.2013;290
WASSER;02.01.2013;Metolachlor;µg/L;0.008;51218-45-2;Pestizide;24;1471.43;8;1;01.01.2013;8
WASSER;02.01.2013;Metolachlor-ESA;µg/L;0.018;171118-09-5;Metabolite;24;1471.43;18;1;01.01.2013;18
WASSER;02.01.2013;Metolachlor-morpholinon;µg/L;0.004;120375-14-6;Metabolite;24;1471.43;4;1;01.01.2013;4
WASSER;02.01.2013;Metoprolol;µg/L;0.008;37350-58-6;Arzneimittel;24;1471.43;8;1;01.01.2013;8
WASSER;02.01.2013;Summe 4-Methylbenzotriazol und 5-Methylbenzotriazol;µg/L;0.071;29385-43-1;Einzelstoffe;24;1471.43;71;1;01.01.2013;71
WASSER;02.01.2013;Toluol-4-sulfonsäure;µg/L;0.023;104-15-4;Einzelstoffe;24;1471.43;23;1;01.01.2013;23
WASSER;02.01.2013;Valsartan;µg/L;0.03;137862-53-4;Arzneimittel;24;1471.43;30;1;01.01.2013;30
WASSER;02.01.2013;Venlafaxin;µg/L;0.005;93413-69-5;Arzneimittel;24;1471.43;5;1;01.01.2013;5
WASSER;02.01.2013;Surfynol 104;µg/L;0.04;126-86-3;Einzelstoffe;24;1471.43;40;1;01.01.2013;40
WASSER;15.01.2013;Stickstoff(gesamt);mg/L;1.7;;Summenparameter;336;1228.74;1.7;14;01.01.2013;0.121428571
WASSER;15.01.2013;TOC;mg/L;2.7;;Summenparameter;336;1228.74;2.7;14;01.01.2013;0.192857143
WASSER;03.01.2013;1,1,1-Trichlorethan;µg/L;0.001;71-55-6;LHKW;24;1426.93;1;1;02.01.2013;1
WASSER;03.01.2013;Chloroform;µg/L;0.025;67-66-3;LHKW;24;1426.93;25;1;02.01.2013;25
WASSER;03.01.2013;Tetrachlorethen;µg/L;0.021;127-18-4;LHKW;24;1426.93;21;1;02.01.2013;21
WASSER;03.01.2013;Tetrachlormethan;µg/L;0.001;56-23-5;LHKW;24;1426.93;1;1;02.01.2013;1
WASSER;03.01.2013;Trichlorethen;µg/L;0.003;79-01-6;LHKW;24;1426.93;3;1;02.01.2013;3
WASSER;03.01.2013;2,6-Dichlorbenzamid;µg/L;0.016;2008-58-4;Metabolite;24;1426.93;16;1;02.01.2013;16
WASSER;03.01.2013;4-Formylaminoantipyrin;µg/L;0.031;1672-58-8;Metabolite;24;1426.93;31;1;02.01.2013;31
WASSER;03.01.2013;4-Trifluormethyl-phenol;µg/L;0.03;402-45-9;Einzelstoffe;24;1426.93;30;1;02.01.2013;30
WASSER;03.01.2013;Acesulfam;µg/L;1.1;33665-90-6;Suessstoffe;24;1426.93;1100;1;02.01.2013;1100
WASSER;03.01.2013;Atenololsäure;µg/L;0.033;56392-14-4;Metabolite;24;1426.93;33;1;02.01.2013;33
WASSER;03.01.2013;Atrazin;µg/L;0.013;1912-24-9;Pestizide;24;1426.93;13;1;02.01.2013;13
WASSER;03.01.2013;Benzotriazol;µg/L;0.24;95-14-7;Einzelstoffe;24;1426.93;240;1;02.01.2013;240
WASSER;03.01.2013;Carbamazepin;µg/L;0.014;298-46-4;Arzneimittel;24;1426.93;14;1;02.01.2013;14
WASSER;03.01.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.008;58955-93-4;Metabolite;24;1426.93;8;1;02.01.2013;8
WASSER;03.01.2013;Cyproconazol;µg/L;0.006;94361-06-5;Pestizide;24;1426.93;6;1;02.01.2013;6
WASSER;03.01.2013;Diclofenac;µg/L;0.015;15307-79-6;Arzneimittel;24;1426.93;15;1;02.01.2013;15
WASSER;03.01.2013;Hydrochlorothiazid;µg/L;0.026;58-93-5;Arzneimittel;24;1426.93;26;1;02.01.2013;26
WASSER;03.01.2013;Metformin;µg/L;0.4;657-24-9;Arzneimittel;24;1426.93;400;1;02.01.2013;400
WASSER;03.01.2013;N-Acetyl-4-aminoantipyrin;µg/L;0.096;83-15-8;Metabolite;24;1426.93;96;1;02.01.2013;96
WASSER;03.01.2013;Saccharin;µg/L;0.031;81-07-2;Suessstoffe;24;1426.93;31;1;02.01.2013;31
WASSER;03.01.2013;Sucralose;µg/L;0.055;56038-13-2;Suessstoffe;24;1426.93;55;1;02.01.2013;55
WASSER;03.01.2013;Summe 5-Methyl-Benzotriazol und 4-Methyl-Benzotriazol und 1-Methylbenzotriazol und 2-Aminobenzimidazol;µg/L;0.13;KEINE NUMMER MOEGLICH;Metabolite;24;1426.93;130;1;02.01.2013;130
WASSER;03.01.2013;Toluol-4-sulfonsäure;µg/L;0.049;104-15-4;Einzelstoffe;24;1426.93;49;1;02.01.2013;49
WASSER;03.01.2013;Triphenylphosphinoxid;µg/L;0.02;791-28-6;Einzelstoffe;24;1426.93;20;1;02.01.2013;20
WASSER;03.01.2013;Valsartan;µg/L;0.039;137862-53-4;Arzneimittel;24;1426.93;39;1;02.01.2013;39
WASSER;03.01.2013;Venlafaxin;µg/L;0.013;93413-69-5;Arzneimittel;24;1426.93;13;1;02.01.2013;13
WASSER;03.01.2013;2-Naphthalinsulfonsäure;µg/L;0.005;120-18-3;Einzelstoffe;24;1426.93;5;1;02.01.2013;5
WASSER;03.01.2013;Acesulfam;µg/L;0.58;33665-90-6;Suessstoffe;24;1426.93;580;1;02.01.2013;580
WASSER;03.01.2013;Atrazin;µg/L;0.005;1912-24-9;Pestizide;24;1426.93;5;1;02.01.2013;5
WASSER;03.01.2013;Benzotriazol;µg/L;0.15;95-14-7;Einzelstoffe;24;1426.93;150;1;02.01.2013;150
WASSER;03.01.2013;Carbamazepin;µg/L;0.014;298-46-4;Arzneimittel;24;1426.93;14;1;02.01.2013;14
WASSER;03.01.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.021;58955-93-4;Metabolite;24;1426.93;21;1;02.01.2013;21
WASSER;03.01.2013;Carbendazim;µg/L;0.004;10605-21-7;Pestizide;24;1426.93;4;1;02.01.2013;4
WASSER;03.01.2013;Chlortoluron;µg/L;0.002;15545-48-9;Pestizide;24;1426.93;2;1;02.01.2013;2
WASSER;03.01.2013;Clarithromycin;µg/L;0.004;81103-11-9;Arzneimittel;24;1426.93;4;1;02.01.2013;4
WASSER;03.01.2013;Cyproconazol;µg/L;0.017;94361-06-5;Pestizide;24;1426.93;17;1;02.01.2013;17
WASSER;03.01.2013;DEET;µg/L;0.007;134-62-3;Pestizide;24;1426.93;7;1;02.01.2013;7
WASSER;03.01.2013;Desethylatrazin;µg/L;0.006;6190-65-4;Metabolite;24;1426.93;6;1;02.01.2013;6
WASSER;03.01.2013;Diclofenac;µg/L;0.017;15307-79-6;Arzneimittel;24;1426.93;17;1;02.01.2013;17
WASSER;03.01.2013;Isoproturon;µg/L;0.002;34123-59-6;Pestizide;24;1426.93;2;1;02.01.2013;2
WASSER;03.01.2013;Metformin;µg/L;0.33;657-24-9;Arzneimittel;24;1426.93;330;1;02.01.2013;330
WASSER;03.01.2013;Metolachlor;µg/L;0.008;51218-45-2;Pestizide;24;1426.93;8;1;02.01.2013;8
WASSER;03.01.2013;Metolachlor-ESA;µg/L;0.016;171118-09-5;Metabolite;24;1426.93;16;1;02.01.2013;16
WASSER;03.01.2013;Metolachlor-morpholinon;µg/L;0.003;120375-14-6;Metabolite;24;1426.93;3;1;02.01.2013;3
WASSER;03.01.2013;Metoprolol;µg/L;0.01;37350-58-6;Arzneimittel;24;1426.93;10;1;02.01.2013;10
WASSER;03.01.2013;Summe 4-Methylbenzotriazol und 5-Methylbenzotriazol;µg/L;0.074;29385-43-1;Einzelstoffe;24;1426.93;74;1;02.01.2013;74
WASSER;03.01.2013;Toluol-4-sulfonsäure;µg/L;0.023;104-15-4;Einzelstoffe;24;1426.93;23;1;02.01.2013;23
WASSER;03.01.2013;Valsartan;µg/L;0.032;137862-53-4;Arzneimittel;24;1426.93;32;1;02.01.2013;32
WASSER;03.01.2013;Venlafaxin;µg/L;0.006;93413-69-5;Arzneimittel;24;1426.93;6;1;02.01.2013;6
WASSER;03.01.2013;Surfynol 104;µg/L;0.032;126-86-3;Einzelstoffe;24;1426.93;32;1;02.01.2013;32
WASSER;04.01.2013;Ammonium(N);mg/L;0.032;14798-03-9;Kationen;24;1364.7;0.032;1;03.01.2013;0.032
WASSER;04.01.2013;1,1,1-Trichlorethan;µg/L;0.001;71-55-6;LHKW;24;1364.7;1;1;03.01.2013;1
WASSER;04.01.2013;Hexachlorethan;µg/L;0.0004;67-72-1;LHKW;24;1364.7;0.4;1;03.01.2013;0.4
WASSER;04.01.2013;Tetrachlorethen;µg/L;0.022;127-18-4;LHKW;24;1364.7;22;1;03.01.2013;22
WASSER;04.01.2013;Tetrachlormethan;µg/L;0.001;56-23-5;LHKW;24;1364.7;1;1;03.01.2013;1
WASSER;04.01.2013;Trichlorethen;µg/L;0.002;79-01-6;LHKW;24;1364.7;2;1;03.01.2013;2
WASSER;04.01.2013;2,6-Dichlorbenzamid;µg/L;0.014;2008-58-4;Metabolite;24;1364.7;14;1;03.01.2013;14
WASSER;04.01.2013;4-Formylaminoantipyrin;µg/L;0.032;1672-58-8;Metabolite;24;1364.7;32;1;03.01.2013;32
WASSER;04.01.2013;Acesulfam;µg/L;1.3;33665-90-6;Suessstoffe;24;1364.7;1300;1;03.01.2013;1300
WASSER;04.01.2013;Atenololsäure;µg/L;0.025;56392-14-4;Metabolite;24;1364.7;25;1;03.01.2013;25
WASSER;04.01.2013;Atrazin;µg/L;0.013;1912-24-9;Pestizide;24;1364.7;13;1;03.01.2013;13
WASSER;04.01.2013;Benzotriazol;µg/L;0.3;95-14-7;Einzelstoffe;24;1364.7;300;1;03.01.2013;300
WASSER;04.01.2013;Carbamazepin;µg/L;0.017;298-46-4;Arzneimittel;24;1364.7;17;1;03.01.2013;17
WASSER;04.01.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.011;58955-93-4;Metabolite;24;1364.7;11;1;03.01.2013;11
WASSER;04.01.2013;Cyproconazol;µg/L;0.007;94361-06-5;Pestizide;24;1364.7;7;1;03.01.2013;7
WASSER;04.01.2013;Diclofenac;µg/L;0.017;15307-79-6;Arzneimittel;24;1364.7;17;1;03.01.2013;17
WASSER;04.01.2013;Hydrochlorothiazid;µg/L;0.032;58-93-5;Arzneimittel;24;1364.7;32;1;03.01.2013;32
WASSER;04.01.2013;Metformin;µg/L;0.43;657-24-9;Arzneimittel;24;1364.7;430;1;03.01.2013;430
WASSER;04.01.2013;N-Acetyl-4-aminoantipyrin;µg/L;0.093;83-15-8;Metabolite;24;1364.7;93;1;03.01.2013;93
WASSER;04.01.2013;Saccharin;µg/L;0.035;81-07-2;Suessstoffe;24;1364.7;35;1;03.01.2013;35
WASSER;04.01.2013;Sucralose;µg/L;0.031;56038-13-2;Suessstoffe;24;1364.7;31;1;03.01.2013;31
WASSER;04.01.2013;Summe 5-Methyl-Benzotriazol und 4-Methyl-Benzotriazol und 1-Methylbenzotriazol und 2-Aminobenzimidazol;µg/L;0.13;KEINE NUMMER MOEGLICH;Metabolite;24;1364.7;130;1;03.01.2013;130
WASSER;04.01.2013;Toluol-4-sulfonsäure;µg/L;0.043;104-15-4;Einzelstoffe;24;1364.7;43;1;03.01.2013;43
WASSER;04.01.2013;Triphenylphosphinoxid;µg/L;0.066;791-28-6;Einzelstoffe;24;1364.7;66;1;03.01.2013;66
WASSER;04.01.2013;Valsartan;µg/L;0.036;137862-53-4;Arzneimittel;24;1364.7;36;1;03.01.2013;36
WASSER;04.01.2013;Venlafaxin;µg/L;0.012;93413-69-5;Arzneimittel;24;1364.7;12;1;03.01.2013;12
WASSER;04.01.2013;2-Naphthalinsulfonsäure;µg/L;0.007;120-18-3;Einzelstoffe;24;1364.7;7;1;03.01.2013;7
WASSER;04.01.2013;Acesulfam;µg/L;0.59;33665-90-6;Suessstoffe;24;1364.7;590;1;03.01.2013;590
WASSER;04.01.2013;Atrazin;µg/L;0.005;1912-24-9;Pestizide;24;1364.7;5;1;03.01.2013;5
WASSER;04.01.2013;Benzotriazol;µg/L;0.16;95-14-7;Einzelstoffe;24;1364.7;160;1;03.01.2013;160
WASSER;04.01.2013;Carbamazepin;µg/L;0.016;298-46-4;Arzneimittel;24;1364.7;16;1;03.01.2013;16
WASSER;04.01.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.018;58955-93-4;Metabolite;24;1364.7;18;1;03.01.2013;18
WASSER;04.01.2013;Carbendazim;µg/L;0.003;10605-21-7;Pestizide;24;1364.7;3;1;03.01.2013;3
WASSER;04.01.2013;Chlortoluron;µg/L;0.001;15545-48-9;Pestizide;24;1364.7;1;1;03.01.2013;1
WASSER;04.01.2013;Clarithromycin;µg/L;0.005;81103-11-9;Arzneimittel;24;1364.7;5;1;03.01.2013;5
WASSER;04.01.2013;Cyproconazol;µg/L;0.019;94361-06-5;Pestizide;24;1364.7;19;1;03.01.2013;19
WASSER;04.01.2013;DEET;µg/L;0.008;134-62-3;Pestizide;24;1364.7;8;1;03.01.2013;8
WASSER;04.01.2013;Desethylatrazin;µg/L;0.006;6190-65-4;Metabolite;24;1364.7;6;1;03.01.2013;6
WASSER;04.01.2013;Diclofenac;µg/L;0.017;15307-79-6;Arzneimittel;24;1364.7;17;1;03.01.2013;17
WASSER;04.01.2013;Isoproturon;µg/L;0.002;34123-59-6;Pestizide;24;1364.7;2;1;03.01.2013;2
WASSER;04.01.2013;Metformin;µg/L;0.33;657-24-9;Arzneimittel;24;1364.7;330;1;03.01.2013;330
WASSER;04.01.2013;Metolachlor;µg/L;0.008;51218-45-2;Pestizide;24;1364.7;8;1;03.01.2013;8
WASSER;04.01.2013;Metolachlor-ESA;µg/L;0.018;171118-09-5;Metabolite;24;1364.7;18;1;03.01.2013;18
WASSER;04.01.2013;Metolachlor-morpholinon;µg/L;0.004;120375-14-6;Metabolite;24;1364.7;4;1;03.01.2013;4
WASSER;04.01.2013;Metoprolol;µg/L;0.01;37350-58-6;Arzneimittel;24;1364.7;10;1;03.01.2013;10
WASSER;04.01.2013;Sulfamethoxazol;µg/L;0.01;723-46-6;Arzneimittel;24;1364.7;10;1;03.01.2013;10
WASSER;04.01.2013;Summe 4-Methylbenzotriazol und 5-Methylbenzotriazol;µg/L;0.076;29385-43-1;Einzelstoffe;24;1364.7;76;1;03.01.2013;76
WASSER;04.01.2013;Toluol-4-sulfonsäure;µg/L;0.023;104-15-4;Einzelstoffe;24;1364.7;23;1;03.01.2013;23
WASSER;04.01.2013;Valsartan;µg/L;0.035;137862-53-4;Arzneimittel;24;1364.7;35;1;03.01.2013;35
WASSER;04.01.2013;Venlafaxin;µg/L;0.006;93413-69-5;Arzneimittel;24;1364.7;6;1;03.01.2013;6
WASSER;05.01.2013;1,1,1-Trichlorethan;µg/L;0.001;71-55-6;LHKW;24;1269.22;1;1;04.01.2013;1
WASSER;05.01.2013;Chloroform;µg/L;0.028;67-66-3;LHKW;24;1269.22;28;1;04.01.2013;28
WASSER;05.01.2013;Tetrachlorethen;µg/L;0.021;127-18-4;LHKW;24;1269.22;21;1;04.01.2013;21
WASSER;05.01.2013;Tetrachlormethan;µg/L;0.002;56-23-5;LHKW;24;1269.22;2;1;04.01.2013;2
WASSER;05.01.2013;Trichlorethen;µg/L;0.003;79-01-6;LHKW;24;1269.22;3;1;04.01.2013;3
WASSER;05.01.2013;2,6-Dichlorbenzamid;µg/L;0.013;2008-58-4;Metabolite;24;1269.22;13;1;04.01.2013;13
WASSER;05.01.2013;4-Formylaminoantipyrin;µg/L;0.036;1672-58-8;Metabolite;24;1269.22;36;1;04.01.2013;36
WASSER;05.01.2013;4-Trifluormethyl-phenol;µg/L;0.02;402-45-9;Einzelstoffe;24;1269.22;20;1;04.01.2013;20
WASSER;05.01.2013;Acesulfam;µg/L;0.96;33665-90-6;Suessstoffe;24;1269.22;960;1;04.01.2013;960
WASSER;05.01.2013;Atenololsäure;µg/L;0.024;56392-14-4;Metabolite;24;1269.22;24;1;04.01.2013;24
WASSER;05.01.2013;Atrazin;µg/L;0.012;1912-24-9;Pestizide;24;1269.22;12;1;04.01.2013;12
WASSER;05.01.2013;Benzotriazol;µg/L;0.23;95-14-7;Einzelstoffe;24;1269.22;230;1;04.01.2013;230
WASSER;05.01.2013;Candesartan;µg/L;0.012;139481-59-7;Arzneimittel;24;1269.22;12;1;04.01.2013;12
WASSER;05.01.2013;Carbamazepin;µg/L;0.019;298-46-4;Arzneimittel;24;1269.22;19;1;04.01.2013;19
WASSER;05.01.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.009;58955-93-4;Metabolite;24;1269.22;9;1;04.01.2013;9
WASSER;05.01.2013;Cyproconazol;µg/L;0.01;94361-06-5;Pestizide;24;1269.22;10;1;04.01.2013;10
WASSER;05.01.2013;Diclofenac;µg/L;0.019;15307-79-6;Arzneimittel;24;1269.22;19;1;04.01.2013;19
WASSER;05.01.2013;Hydrochlorothiazid;µg/L;0.029;58-93-5;Arzneimittel;24;1269.22;29;1;04.01.2013;29
WASSER;05.01.2013;Metformin;µg/L;0.33;657-24-9;Arzneimittel;24;1269.22;330;1;04.01.2013;330
WASSER;05.01.2013;N-Acetyl-4-aminoantipyrin;µg/L;0.081;83-15-8;Metabolite;24;1269.22;81;1;04.01.2013;81
WASSER;05.01.2013;Saccharin;µg/L;0.043;81-07-2;Suessstoffe;24;1269.22;43;1;04.01.2013;43
WASSER;05.01.2013;Sucralose;µg/L;0.031;56038-13-2;Suessstoffe;24;1269.22;31;1;04.01.2013;31
WASSER;05.01.2013;Summe 5-Methyl-Benzotriazol und 4-Methyl-Benzotriazol und 1-Methylbenzotriazol und 2-Aminobenzimidazol;µg/L;0.14;KEINE NUMMER MOEGLICH;Metabolite;24;1269.22;140;1;04.01.2013;140
WASSER;05.01.2013;Summe O-Desvenlafaxin und N-Desvenlafaxin und Tramadol;µg/L;0.006;KEINE NUMMER MOEGLICH;Arzneimittel;24;1269.22;6;1;04.01.2013;6
WASSER;05.01.2013;Toluol-4-sulfonsäure;µg/L;0.042;104-15-4;Einzelstoffe;24;1269.22;42;1;04.01.2013;42
WASSER;05.01.2013;Triphenylphosphinoxid;µg/L;0.023;791-28-6;Einzelstoffe;24;1269.22;23;1;04.01.2013;23
WASSER;05.01.2013;Valsartan;µg/L;0.045;137862-53-4;Arzneimittel;24;1269.22;45;1;04.01.2013;45
WASSER;05.01.2013;Venlafaxin;µg/L;0.013;93413-69-5;Arzneimittel;24;1269.22;13;1;04.01.2013;13
WASSER;05.01.2013;2-Naphthalinsulfonsäure;µg/L;0.006;120-18-3;Einzelstoffe;24;1269.22;6;1;04.01.2013;6
WASSER;05.01.2013;Acesulfam;µg/L;0.44;33665-90-6;Suessstoffe;24;1269.22;440;1;04.01.2013;440
WASSER;05.01.2013;Benzotriazol;µg/L;0.16;95-14-7;Einzelstoffe;24;1269.22;160;1;04.01.2013;160
WASSER;05.01.2013;Carbamazepin;µg/L;0.017;298-46-4;Arzneimittel;24;1269.22;17;1;04.01.2013;17
WASSER;05.01.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.02;58955-93-4;Metabolite;24;1269.22;20;1;04.01.2013;20
WASSER;05.01.2013;Carbendazim;µg/L;0.004;10605-21-7;Pestizide;24;1269.22;4;1;04.01.2013;4
WASSER;05.01.2013;Chlortoluron;µg/L;0.002;15545-48-9;Pestizide;24;1269.22;2;1;04.01.2013;2
WASSER;05.01.2013;Clarithromycin;µg/L;0.006;81103-11-9;Arzneimittel;24;1269.22;6;1;04.01.2013;6
WASSER;05.01.2013;Cyproconazol;µg/L;0.023;94361-06-5;Pestizide;24;1269.22;23;1;04.01.2013;23
WASSER;05.01.2013;DEET;µg/L;0.009;134-62-3;Pestizide;24;1269.22;9;1;04.01.2013;9
